cow_id,parity,blood_calcium_mg_dl,blood_phosphorus_mg_dl,body_condition_score,days_to_calving,milk_yield_day1_kg,activity_level_score,dietary_cation_anion_difference,feed_intake_kg_day,rumination_minutes_day,behavioral_pattern,emergency_vet_required,stage
COW-1244,8,10.27,4.48,3.2,30,26.8,7.1,-10.2,22.3,486.9,Muscle tremors,No,Normal
COW-1245,4,9.79,5.72,2.1,19,37.4,9.4,4.8,19.7,599.1,Unable to stand,No,Normal
COW-1246,6,5.82,4.59,2.7,12,12.1,3.0,39.5,10.7,201.6,Unable to stand,Yes,Moderate
COW-1247,4,8.36,7.08,4.8,-2,36.7,5.2,37.1,18.3,390.0,Unable to stand,No,Subclinical
COW-1248,7,5.32,5.96,4.4,17,42.0,3.7,-13.4,13.9,201.1,Lethargic,Yes,Moderate
COW-1249,3,4.29,5.46,2.9,26,11.3,0.8,-11.9,9.9,185.8,Unable to stand,Yes,Critical
COW-1250,8,8.5,6.58,4.8,15,12.1,9.8,-6.9,19.4,469.6,Reduced movement,No,Normal
COW-1251,6,6.86,3.51,2.9,3,44.2,3.7,25.3,17.7,309.3,Muscle tremors,No,Mild
COW-1252,8,5.58,7.64,4.4,9,33.3,2.3,29.8,14.8,263.2,Muscle tremors,Yes,Moderate
COW-1253,5,8.75,4.96,5.0,-3,16.4,9.2,2.5,24.6,592.3,Unable to stand,No,Normal
COW-1254,2,10.37,7.91,2.5,0,38.8,7.4,21.9,23.2,485.7,Lethargic,No,Normal
COW-1255,5,7.29,6.6,2.1,23,35.6,6.4,38.3,16.8,468.1,Muscle tremors,No,Subclinical
COW-1256,7,7.49,5.89,4.3,9,15.7,5.8,-10.9,19.1,468.3,Normal movement,No,Subclinical
COW-1257,6,9.02,3.8,2.2,0,21.8,7.3,39.2,20.4,583.2,Muscle tremors,No,Normal
COW-1258,7,6.85,3.51,2.6,7,24.3,3.3,15.5,17.3,273.6,Unable to stand,No,Mild
COW-1259,5,9.09,5.45,2.2,-5,25.0,7.3,1.2,20.8,532.4,Unable to stand,No,Normal
COW-1260,2,7.04,7.22,2.9,20,26.5,5.3,34.2,16.5,362.3,Lethargic,No,Subclinical
COW-1261,7,8.87,4.32,3.4,9,39.3,9.7,16.0,20.6,516.9,Reduced movement,No,Normal
COW-1262,2,6.08,5.95,3.7,19,38.6,3.7,8.0,15.2,395.6,Unable to stand,No,Mild
COW-1263,8,6.52,7.27,2.1,28,38.0,3.5,22.3,13.8,309.2,Unable to stand,No,Mild
COW-1264,8,8.85,3.63,3.3,22,17.1,10.0,30.2,24.8,571.3,Reduced movement,No,Normal
COW-1265,5,5.29,5.78,3.7,12,28.2,3.5,35.4,13.7,190.4,Normal movement,Yes,Moderate
COW-1266,7,5.1,7.82,2.3,1,29.7,2.3,-9.4,12.0,249.9,Lethargic,Yes,Moderate
COW-1267,6,5.79,5.37,2.5,20,15.0,2.5,18.5,12.6,248.6,Muscle tremors,Yes,Moderate
COW-1268,6,9.88,4.86,3.0,14,20.9,7.1,31.4,21.3,490.3,Normal movement,No,Normal
COW-1269,4,3.69,4.35,3.3,0,16.6,2.0,-3.4,6.7,179.1,Muscle tremors,Yes,Critical
COW-1270,6,6.74,5.53,2.4,28,40.8,4.0,-13.4,13.0,296.7,Reduced movement,No,Mild
COW-1271,4,5.75,6.52,2.8,24,27.7,2.5,19.9,11.2,290.2,Normal movement,Yes,Moderate
COW-1272,4,6.34,5.93,3.0,5,39.3,4.2,-0.8,13.1,380.6,Normal movement,No,Mild
COW-1273,7,8.6,4.11,2.7,8,19.4,9.6,7.5,23.5,482.1,Normal movement,No,Normal
COW-1274,1,5.43,4.12,3.8,14,34.9,2.3,24.0,9.2,276.1,Lethargic,Yes,Moderate
COW-1275,7,8.19,5.6,3.9,1,10.3,5.9,40.0,16.1,395.3,Lethargic,No,Subclinical
COW-1276,5,7.42,6.2,4.6,11,33.0,5.2,37.4,15.3,498.3,Lethargic,No,Subclinical
COW-1277,4,10.3,6.3,4.0,-4,32.9,9.4,39.9,23.6,540.0,Lethargic,No,Normal
COW-1278,7,5.35,3.95,4.2,9,34.0,2.1,20.1,13.0,248.6,Muscle tremors,Yes,Moderate
COW-1279,6,5.46,3.91,2.3,3,35.9,3.7,24.9,13.9,285.2,Unable to stand,Yes,Moderate
COW-1280,3,6.85,4.12,4.6,21,37.6,4.8,3.2,15.9,283.3,Lethargic,No,Mild
COW-1281,8,8.19,7.72,2.2,7,27.5,5.9,32.7,19.3,437.5,Muscle tremors,No,Subclinical
COW-1282,7,7.08,5.05,3.7,24,15.0,6.7,32.4,15.7,380.0,Reduced movement,No,Subclinical
COW-1283,8,6.3,5.26,2.6,5,30.2,5.0,-6.3,13.9,258.7,Normal movement,No,Mild
COW-1284,7,9.77,3.19,2.6,18,43.3,8.2,34.1,24.8,507.5,Unable to stand,No,Normal
COW-1285,1,9.75,3.64,3.2,14,15.8,7.7,30.3,22.9,501.7,Lethargic,No,Normal
COW-1286,8,4.52,7.98,3.0,26,22.6,1.4,-4.6,6.0,186.6,Muscle tremors,Yes,Critical
COW-1287,4,9.95,3.84,3.1,-3,23.1,7.4,20.2,23.1,538.5,Unable to stand,No,Normal
COW-1288,1,6.6,5.08,3.1,30,18.8,4.3,23.6,12.1,353.5,Reduced movement,No,Mild
COW-1289,1,6.27,6.03,2.4,1,27.9,4.3,19.0,16.0,290.5,Lethargic,No,Mild
COW-1290,2,9.5,7.87,3.1,21,20.3,8.8,-12.8,23.4,574.7,Muscle tremors,No,Normal
COW-1291,8,5.3,7.18,4.0,4,43.2,2.0,27.9,12.7,288.8,Normal movement,Yes,Moderate
COW-1292,2,6.81,4.32,2.2,6,40.6,4.3,31.9,14.7,396.6,Lethargic,No,Mild
COW-1293,6,5.38,3.05,2.4,5,21.5,2.2,34.2,14.0,286.8,Unable to stand,Yes,Moderate
COW-1294,2,9.25,5.28,4.5,25,38.0,8.0,20.7,18.8,510.0,Reduced movement,No,Normal
COW-1295,1,10.46,5.41,3.7,23,16.3,9.5,5.9,18.7,586.7,Lethargic,No,Normal
COW-1296,3,6.43,3.32,4.0,-5,34.7,4.0,22.3,17.3,316.1,Unable to stand,No,Mild
COW-1297,4,6.88,6.5,2.3,10,26.9,4.3,21.5,14.0,328.5,Muscle tremors,No,Mild
COW-1298,1,8.52,5.48,2.5,26,21.2,9.8,3.2,21.5,520.4,Lethargic,No,Normal
COW-1299,4,9.6,5.22,3.7,0,40.0,8.1,9.6,23.7,461.8,Normal movement,No,Normal
COW-1300,1,3.64,3.45,3.8,14,41.2,1.1,15.9,7.3,80.0,Muscle tremors,Yes,Critical
COW-1301,6,4.66,6.84,3.8,18,35.1,1.7,-8.7,9.1,119.8,Reduced movement,Yes,Critical
COW-1302,6,10.16,6.51,2.1,5,27.2,9.9,30.2,20.0,528.3,Muscle tremors,No,Normal
COW-1303,4,8.88,6.91,4.2,1,36.5,9.8,-12.4,20.8,518.6,Unable to stand,No,Normal
COW-1304,8,9.41,3.02,4.2,30,42.7,8.8,31.1,21.5,594.6,Muscle tremors,No,Normal
COW-1305,3,5.62,6.29,3.8,15,27.6,2.3,6.2,13.7,192.4,Unable to stand,Yes,Moderate
COW-1306,4,5.25,3.67,3.2,27,20.5,3.9,23.6,14.8,234.3,Lethargic,Yes,Moderate
COW-1307,4,6.18,6.36,4.9,6,27.6,4.2,23.2,13.7,301.8,Lethargic,No,Mild
COW-1308,6,6.51,6.37,4.7,29,20.0,4.2,31.6,17.7,356.5,Normal movement,No,Mild
COW-1309,1,7.53,6.93,5.0,11,15.1,5.1,-11.6,15.3,390.0,Lethargic,No,Subclinical
COW-1310,1,9.22,5.81,2.7,30,23.6,8.4,13.1,22.3,551.3,Lethargic,No,Normal
COW-1311,1,6.83,4.56,3.7,-5,36.0,3.8,-3.8,17.7,396.4,Muscle tremors,No,Mild
COW-1312,6,5.68,7.82,2.9,6,44.4,3.1,-10.9,12.2,273.1,Reduced movement,Yes,Moderate
COW-1313,2,6.34,5.92,2.8,16,26.3,3.9,36.6,15.3,269.5,Normal movement,No,Mild
COW-1314,6,9.69,4.51,4.4,30,22.5,9.3,28.1,22.4,576.5,Lethargic,No,Normal
COW-1315,3,7.73,5.02,3.0,8,33.2,6.6,3.2,15.8,431.5,Lethargic,No,Subclinical
COW-1316,8,10.49,6.34,3.3,10,43.6,9.5,22.5,24.9,451.3,Lethargic,No,Normal
COW-1317,2,7.54,7.11,3.1,27,25.6,6.1,-12.6,16.4,486.7,Reduced movement,No,Subclinical
COW-1318,2,10.4,3.04,2.2,8,40.3,7.5,8.3,24.7,530.7,Normal movement,No,Normal
COW-1319,7,9.79,5.3,3.0,0,12.6,9.8,-5.2,23.2,473.1,Lethargic,No,Normal
COW-1320,4,8.28,4.58,3.2,2,28.7,5.8,20.3,17.3,410.7,Unable to stand,No,Subclinical
COW-1321,1,9.9,6.93,2.9,0,19.9,7.2,36.0,24.5,465.9,Muscle tremors,No,Normal
COW-1322,1,7.66,6.99,3.6,4,20.4,6.1,33.8,15.7,408.6,Lethargic,No,Subclinical
COW-1323,1,4.27,5.98,3.6,0,20.7,1.3,26.2,4.7,80.6,Lethargic,Yes,Critical
COW-1324,3,8.82,3.91,4.4,-2,39.8,7.7,36.3,23.8,479.1,Unable to stand,No,Normal
COW-1325,2,7.41,5.44,3.0,3,33.5,5.1,-2.1,15.5,458.8,Lethargic,No,Subclinical
COW-1326,4,6.29,5.92,3.7,18,38.3,3.9,37.7,15.7,295.9,Reduced movement,No,Mild
COW-1327,4,10.07,4.8,4.0,16,40.7,9.1,10.5,22.5,491.5,Lethargic,No,Normal
COW-1328,8,6.5,7.29,2.4,29,16.9,3.4,25.3,15.6,376.3,Normal movement,No,Mild
COW-1329,1,6.76,6.85,2.6,-3,29.3,4.3,14.9,16.9,336.8,Unable to stand,No,Mild
COW-1330,3,7.51,4.45,3.4,27,13.2,5.4,5.0,18.9,460.0,Normal movement,No,Subclinical
COW-1331,3,6.68,5.83,4.6,4,35.8,3.3,11.6,13.0,335.0,Lethargic,No,Mild
COW-1332,8,8.96,5.59,4.4,19,26.4,7.8,10.0,19.6,550.3,Normal movement,No,Normal
COW-1333,6,8.71,6.71,3.7,6,23.2,9.9,5.8,22.4,491.0,Unable to stand,No,Normal
COW-1334,2,6.46,4.76,4.6,26,37.7,3.8,33.8,17.4,327.5,Normal movement,No,Mild
COW-1335,3,7.62,3.75,2.5,2,33.1,5.5,7.8,17.6,392.1,Lethargic,No,Subclinical
COW-1336,8,6.61,5.05,2.7,3,30.1,4.0,-6.1,15.5,347.1,Unable to stand,No,Mild
COW-1337,3,8.61,6.0,3.7,-4,40.7,7.8,25.0,19.3,593.7,Lethargic,No,Normal
COW-1338,4,4.13,7.15,3.8,6,31.8,2.0,13.1,9.2,100.5,Reduced movement,Yes,Critical
COW-1339,6,6.83,3.66,2.0,28,40.1,4.2,12.7,12.4,306.7,Muscle tremors,No,Mild
COW-1340,2,5.16,5.66,4.3,0,26.9,3.8,-7.8,12.2,285.3,Unable to stand,Yes,Moderate
COW-1341,1,8.26,4.85,2.1,28,25.0,6.5,36.6,18.2,428.3,Muscle tremors,No,Subclinical
COW-1342,7,5.32,5.88,3.3,11,26.7,3.6,-2.2,14.4,280.5,Normal movement,Yes,Moderate
COW-1343,7,9.02,5.61,3.6,19,32.9,7.0,22.8,23.2,451.1,Lethargic,No,Normal
COW-1344,2,7.22,5.12,3.1,12,44.7,6.3,6.9,16.3,478.2,Reduced movement,No,Subclinical
COW-1345,8,7.25,5.89,4.3,20,35.8,6.1,32.0,17.4,498.3,Normal movement,No,Subclinical
COW-1346,8,6.7,6.93,4.4,-2,15.6,4.9,38.1,12.6,326.3,Normal movement,No,Mild
COW-1347,3,5.42,4.85,3.8,19,42.6,3.2,7.0,8.6,211.6,Unable to stand,Yes,Moderate
COW-1348,1,10.39,4.01,4.0,28,20.0,9.5,-13.2,22.5,515.8,Unable to stand,No,Normal
COW-1349,4,7.86,7.88,2.3,12,37.3,6.3,4.4,16.8,448.3,Muscle tremors,No,Subclinical
COW-1350,4,7.72,4.42,4.5,17,22.2,6.5,29.9,15.3,363.5,Reduced movement,No,Subclinical
COW-1351,4,6.41,5.53,3.7,27,20.3,3.8,37.1,12.0,276.3,Unable to stand,No,Mild
COW-1352,5,4.47,6.79,4.9,24,33.9,1.9,34.3,7.4,172.4,Normal movement,Yes,Critical
COW-1353,5,7.09,4.15,2.9,17,28.1,6.3,-14.5,20.0,451.5,Lethargic,No,Subclinical
COW-1354,2,9.3,3.89,2.9,8,41.3,9.2,-0.2,20.4,533.2,Reduced movement,No,Normal
COW-1355,4,7.33,7.17,4.5,17,15.5,5.5,-9.1,16.3,384.4,Normal movement,No,Subclinical
COW-1356,8,6.55,5.41,3.9,26,41.4,4.5,33.5,15.2,256.3,Unable to stand,No,Mild
COW-1357,8,5.16,6.75,2.4,28,38.0,3.5,11.3,11.6,227.7,Unable to stand,Yes,Moderate
COW-1358,6,9.29,6.49,3.4,-5,10.4,9.1,-3.4,19.2,596.5,Unable to stand,No,Normal
COW-1359,6,9.73,5.36,3.8,18,16.4,7.8,8.3,21.8,485.6,Muscle tremors,No,Normal
COW-1360,6,6.33,7.9,4.1,1,35.2,3.8,29.2,14.7,335.7,Unable to stand,No,Mild
COW-1361,7,7.27,3.05,3.3,3,44.8,6.6,31.7,18.7,420.9,Unable to stand,No,Subclinical
COW-1362,6,8.1,4.99,4.1,-2,17.5,5.6,-1.0,17.8,435.2,Normal movement,No,Subclinical
COW-1363,6,7.36,4.72,3.2,17,40.4,5.7,38.0,17.8,471.5,Reduced movement,No,Subclinical
COW-1364,3,8.37,6.87,3.3,0,23.3,5.6,0.8,16.6,426.6,Reduced movement,No,Subclinical
COW-1365,6,5.38,3.4,3.0,15,21.1,3.2,1.0,10.8,288.8,Lethargic,Yes,Moderate
COW-1366,7,6.24,5.93,4.9,21,15.9,3.9,32.0,17.2,304.5,Reduced movement,No,Mild
COW-1367,5,6.85,3.52,2.2,25,29.2,4.4,-13.5,12.5,275.0,Muscle tremors,No,Mild
COW-1368,2,7.15,4.95,2.7,13,25.5,6.2,-8.0,15.4,489.7,Unable to stand,No,Subclinical
COW-1369,1,5.03,5.34,4.6,12,29.2,2.7,-7.6,14.4,283.7,Unable to stand,Yes,Moderate
COW-1370,8,9.76,6.2,2.9,17,26.9,8.9,-2.5,21.9,528.5,Normal movement,No,Normal
COW-1371,6,7.58,6.79,2.4,13,26.4,5.3,-14.5,15.1,428.5,Muscle tremors,No,Subclinical
COW-1372,8,3.92,6.98,3.6,7,24.4,1.6,15.8,8.8,151.6,Muscle tremors,Yes,Critical
COW-1373,7,10.16,5.58,4.4,12,20.0,7.7,25.9,18.6,543.8,Lethargic,No,Normal
COW-1374,2,7.26,4.36,3.9,7,21.2,5.6,-6.6,18.2,442.7,Unable to stand,No,Subclinical
COW-1375,2,9.06,3.45,2.0,8,22.0,7.4,2.1,21.1,451.2,Muscle tremors,No,Normal
COW-1376,8,4.48,3.73,2.8,20,12.5,0.5,10.9,4.5,170.1,Reduced movement,Yes,Critical
COW-1377,5,5.74,4.24,4.3,23,18.7,3.7,39.7,8.9,272.2,Reduced movement,Yes,Moderate
COW-1378,2,7.73,4.56,3.0,-3,36.1,7.0,15.2,17.4,452.2,Normal movement,No,Subclinical
COW-1379,5,8.9,3.56,3.9,15,10.5,9.7,28.7,24.0,482.7,Unable to stand,No,Normal
COW-1380,4,8.52,5.98,3.1,0,18.7,7.1,12.5,23.5,521.3,Unable to stand,No,Normal
COW-1381,1,8.62,3.63,2.7,30,37.6,8.9,26.6,22.9,568.7,Muscle tremors,No,Normal
COW-1382,1,6.62,5.43,3.3,13,29.0,3.7,12.0,12.8,384.8,Unable to stand,No,Mild
COW-1383,6,9.15,7.3,2.5,28,15.4,8.4,1.3,24.1,539.8,Lethargic,No,Normal
COW-1384,8,7.0,3.09,4.6,10,21.2,6.3,-11.5,16.9,377.8,Unable to stand,No,Subclinical
COW-1385,4,5.47,4.61,3.9,2,13.4,3.0,21.2,11.9,253.6,Normal movement,Yes,Moderate
COW-1386,3,5.16,3.16,3.9,19,33.0,2.1,13.9,8.7,203.0,Unable to stand,Yes,Moderate
COW-1387,6,8.94,6.28,4.8,0,26.4,9.2,20.1,18.1,588.2,Lethargic,No,Normal
COW-1388,7,8.15,5.65,4.2,14,12.7,6.6,-3.1,15.3,442.5,Unable to stand,No,Subclinical
COW-1389,4,9.56,6.13,2.5,30,24.5,7.6,-9.2,21.7,487.3,Unable to stand,No,Normal
COW-1390,8,7.98,5.75,3.5,5,28.7,5.9,18.0,15.5,468.9,Lethargic,No,Subclinical
COW-1391,6,5.76,4.62,2.7,29,17.5,2.8,27.1,12.4,279.1,Lethargic,Yes,Moderate
COW-1392,8,7.63,5.98,3.6,14,10.2,5.8,39.1,18.6,497.4,Reduced movement,No,Subclinical
COW-1393,1,5.69,5.56,3.7,4,13.3,3.9,10.3,13.8,290.3,Reduced movement,Yes,Moderate
COW-1394,6,10.28,5.85,3.7,8,35.7,7.7,24.8,19.8,495.0,Muscle tremors,No,Normal
COW-1395,2,9.69,3.39,2.2,16,22.2,7.9,29.9,23.1,536.4,Muscle tremors,No,Normal
COW-1396,2,4.72,3.06,4.3,19,11.9,0.8,13.8,7.9,152.3,Lethargic,Yes,Critical
COW-1397,3,7.46,7.99,4.9,27,13.2,6.4,8.8,15.8,451.0,Muscle tremors,No,Subclinical
COW-1398,6,8.67,3.43,3.5,3,36.7,8.7,11.5,18.3,509.9,Reduced movement,No,Normal
COW-1399,4,7.79,4.33,3.3,0,13.9,7.0,7.7,17.6,386.3,Lethargic,No,Subclinical
COW-1400,6,9.19,4.75,4.5,23,31.8,9.0,9.2,23.4,475.4,Reduced movement,No,Normal
COW-1401,6,8.81,4.22,3.9,4,40.4,9.2,30.1,18.6,560.9,Normal movement,No,Normal
COW-1402,2,9.11,4.06,3.6,11,29.2,8.4,19.3,20.3,561.0,Reduced movement,No,Normal
COW-1403,1,6.34,3.3,2.6,12,11.9,4.8,21.0,15.2,288.3,Normal movement,No,Mild
COW-1404,5,9.83,4.46,4.7,19,18.1,9.7,5.9,20.5,466.2,Normal movement,No,Normal
COW-1405,8,5.78,5.29,4.8,-4,11.4,3.1,35.7,9.3,240.1,Lethargic,Yes,Moderate
COW-1406,7,9.99,4.51,5.0,27,19.7,7.1,-11.6,22.8,503.3,Lethargic,No,Normal
COW-1407,1,5.85,4.96,2.4,19,28.2,3.9,22.3,9.6,221.0,Reduced movement,Yes,Moderate
COW-1408,3,7.6,3.66,4.0,29,33.9,5.6,-3.9,18.0,417.4,Reduced movement,No,Subclinical
COW-1409,3,9.36,5.82,2.5,-1,29.5,9.7,37.2,23.4,548.4,Normal movement,No,Normal
COW-1410,3,9.95,5.06,3.3,12,15.3,9.3,-4.7,24.2,512.1,Reduced movement,No,Normal
COW-1411,5,9.71,3.13,2.2,25,14.7,8.8,31.5,22.2,484.6,Muscle tremors,No,Normal
COW-1412,6,6.17,4.13,3.2,-5,42.4,3.8,37.3,14.8,274.6,Reduced movement,No,Mild
COW-1413,4,6.68,7.34,3.5,15,40.3,3.1,33.8,17.6,397.8,Muscle tremors,No,Mild
COW-1414,1,7.85,7.7,3.7,29,28.4,6.6,33.2,18.6,409.1,Normal movement,No,Subclinical
COW-1415,8,7.64,5.69,5.0,-3,29.5,6.8,13.4,19.4,386.9,Normal movement,No,Subclinical
COW-1416,8,9.3,5.11,3.8,-2,34.1,7.9,34.7,23.8,519.2,Muscle tremors,No,Normal
COW-1417,8,5.08,7.47,3.6,20,24.5,3.0,9.8,9.3,250.3,Reduced movement,Yes,Moderate
COW-1418,4,8.24,6.56,2.5,2,13.2,5.2,23.8,16.6,447.3,Lethargic,No,Subclinical
COW-1419,7,9.95,5.75,2.1,5,41.9,9.9,16.1,22.3,474.0,Reduced movement,No,Normal
COW-1420,3,8.86,6.84,3.3,6,14.1,9.1,-7.8,20.9,496.4,Reduced movement,No,Normal
COW-1421,5,8.52,6.04,3.5,8,30.6,8.5,11.2,21.5,571.1,Muscle tremors,No,Normal
COW-1422,1,7.34,7.13,2.1,4,11.9,6.1,4.2,18.1,433.6,Reduced movement,No,Subclinical
COW-1423,5,5.3,3.81,2.9,30,16.2,2.2,10.0,8.8,299.2,Unable to stand,Yes,Moderate
COW-1424,1,7.13,3.34,3.3,30,12.3,5.6,10.9,16.8,406.8,Normal movement,No,Subclinical
COW-1425,5,6.3,3.29,3.7,28,44.6,3.8,11.6,13.3,281.4,Unable to stand,No,Mild
COW-1426,5,4.1,6.12,4.8,26,28.2,1.8,19.8,5.6,149.0,Muscle tremors,Yes,Critical
COW-1427,4,5.64,6.13,2.4,8,38.0,4.0,39.9,8.0,182.9,Muscle tremors,Yes,Moderate
COW-1428,6,9.62,4.41,4.4,14,20.5,8.9,15.2,18.1,480.2,Normal movement,No,Normal
COW-1429,6,9.18,3.88,3.0,16,42.3,9.2,11.4,22.3,454.4,Muscle tremors,No,Normal
COW-1430,3,5.43,4.68,4.4,21,42.5,3.3,-11.9,14.2,244.4,Unable to stand,Yes,Moderate
COW-1431,6,9.61,7.58,4.4,-1,43.9,7.1,0.4,22.0,499.8,Normal movement,No,Normal
COW-1432,7,9.75,5.98,4.6,14,34.7,9.5,2.3,22.0,508.4,Normal movement,No,Normal
COW-1433,2,9.49,4.08,2.9,2,23.1,7.7,-12.9,21.2,592.6,Reduced movement,No,Normal
COW-1434,8,5.46,4.7,3.5,28,20.9,3.6,3.0,14.3,198.5,Normal movement,Yes,Moderate
COW-1435,3,5.18,3.58,2.9,-3,34.0,2.1,17.7,10.7,283.8,Normal movement,Yes,Moderate
COW-1436,1,8.71,6.79,3.9,8,21.2,9.3,-4.4,23.2,453.4,Lethargic,No,Normal
COW-1437,8,7.94,7.79,3.7,1,17.2,5.5,4.3,15.8,367.2,Lethargic,No,Subclinical
COW-1438,5,9.65,5.7,2.2,-4,26.5,7.5,22.2,20.2,583.8,Normal movement,No,Normal
COW-1439,2,7.6,7.18,4.1,17,20.9,5.4,30.0,18.0,438.9,Unable to stand,No,Subclinical
COW-1440,8,9.64,3.49,2.9,24,26.5,7.3,37.1,23.6,554.8,Reduced movement,No,Normal
COW-1441,5,5.82,6.94,4.6,24,27.1,2.8,-11.4,12.9,259.8,Normal movement,Yes,Moderate
COW-1442,8,8.18,5.54,3.2,1,21.4,5.6,20.7,16.7,436.2,Lethargic,No,Subclinical
COW-1443,7,7.83,5.41,2.2,8,38.5,5.5,17.5,16.2,373.9,Muscle tremors,No,Subclinical
COW-1444,6,7.76,7.65,3.7,26,14.0,5.5,17.8,18.3,361.7,Lethargic,No,Subclinical
COW-1445,8,7.25,7.07,4.3,19,21.5,6.9,20.5,15.3,366.3,Normal movement,No,Subclinical
COW-1446,3,10.27,3.73,2.4,29,20.2,9.7,18.9,22.5,450.0,Muscle tremors,No,Normal
COW-1447,6,9.1,7.68,4.2,17,44.7,9.4,17.0,22.8,587.8,Unable to stand,No,Normal
COW-1448,7,4.69,7.84,2.0,30,38.7,1.8,4.8,4.4,188.1,Lethargic,Yes,Critical
COW-1449,4,5.39,5.03,3.3,8,33.2,3.2,11.1,12.4,265.4,Reduced movement,Yes,Moderate
COW-1450,6,8.18,3.67,2.2,-4,15.0,5.3,33.7,20.0,450.5,Muscle tremors,No,Subclinical
COW-1451,3,3.62,6.94,3.8,22,31.8,1.5,10.0,6.5,134.7,Muscle tremors,Yes,Critical
COW-1452,8,7.54,5.49,4.2,27,19.4,5.5,36.0,17.1,351.1,Unable to stand,No,Subclinical
COW-1453,1,7.8,6.45,2.4,28,44.4,6.4,39.1,15.6,422.2,Lethargic,No,Subclinical
COW-1454,2,7.73,6.32,4.0,29,37.9,6.2,2.2,16.2,444.6,Normal movement,No,Subclinical
COW-1455,1,5.42,5.11,4.9,13,20.1,3.0,-13.1,11.3,268.1,Unable to stand,Yes,Moderate
COW-1456,5,6.06,7.95,4.4,-4,20.0,3.9,-10.5,13.0,257.7,Unable to stand,No,Mild
COW-1457,5,9.0,6.71,3.8,4,33.1,8.8,5.3,19.9,488.5,Reduced movement,No,Normal
COW-1458,4,9.47,3.42,2.4,4,39.3,9.4,26.4,24.0,501.4,Muscle tremors,No,Normal
COW-1459,4,6.59,7.21,2.2,11,36.4,4.5,-8.6,13.0,336.7,Reduced movement,No,Mild
COW-1460,8,7.42,4.9,4.1,25,19.2,6.5,14.2,18.8,429.9,Muscle tremors,No,Subclinical
COW-1461,8,9.26,3.49,3.6,17,43.5,7.9,8.7,21.7,593.4,Lethargic,No,Normal
COW-1462,5,10.1,6.38,2.7,7,28.2,7.8,22.3,22.1,519.2,Reduced movement,No,Normal
COW-1463,1,9.85,3.52,3.3,9,35.4,9.5,-1.1,18.1,464.7,Normal movement,No,Normal
COW-1464,2,8.61,6.0,2.4,2,13.0,8.8,18.3,24.3,482.5,Muscle tremors,No,Normal
COW-1465,3,6.81,7.68,3.9,12,36.9,4.4,23.1,13.5,320.0,Lethargic,No,Mild
COW-1466,2,9.05,4.29,4.4,6,25.4,7.2,12.0,20.7,599.4,Reduced movement,No,Normal
COW-1467,3,6.58,6.07,2.3,23,35.0,3.2,-9.3,15.2,314.7,Normal movement,No,Mild
COW-1468,5,10.05,3.0,2.1,19,19.3,7.1,23.5,21.5,547.9,Muscle tremors,No,Normal
COW-1469,8,7.67,3.35,2.7,19,43.4,5.8,30.0,18.6,471.8,Muscle tremors,No,Subclinical
COW-1470,6,9.17,6.24,3.1,16,12.8,7.9,10.3,18.4,599.6,Lethargic,No,Normal
COW-1471,3,6.5,4.95,2.3,17,27.0,4.9,33.7,16.0,294.8,Muscle tremors,No,Mild
COW-1472,3,6.03,4.94,4.4,14,27.5,3.1,38.1,18.0,285.8,Muscle tremors,No,Mild
COW-1473,1,3.55,3.59,4.4,28,26.0,0.6,22.3,8.7,85.1,Unable to stand,Yes,Critical
COW-1474,4,10.35,5.36,4.8,-3,18.5,7.1,20.7,19.0,548.1,Normal movement,No,Normal
COW-1475,1,10.31,7.18,2.2,1,14.0,9.5,17.7,18.7,541.7,Unable to stand,No,Normal
COW-1476,4,9.35,4.62,4.9,29,14.8,9.4,31.0,24.9,551.8,Reduced movement,No,Normal
COW-1477,3,6.3,6.48,3.7,23,18.5,3.2,17.0,12.8,312.3,Reduced movement,No,Mild
COW-1478,7,10.06,3.9,2.3,13,24.6,7.0,29.4,21.4,451.0,Muscle tremors,No,Normal
COW-1479,4,6.13,3.87,4.1,6,35.1,3.5,18.7,14.7,285.9,Normal movement,No,Mild
COW-1480,5,6.31,5.65,2.3,18,40.2,3.0,39.3,13.4,267.6,Unable to stand,No,Mild
COW-1481,4,9.05,7.84,3.4,6,15.6,7.6,35.7,23.6,552.8,Normal movement,No,Normal
COW-1482,5,6.19,5.27,2.3,-2,42.4,3.5,-5.3,15.7,383.5,Normal movement,No,Mild
COW-1483,2,7.1,5.1,4.2,15,18.1,5.5,-8.9,17.2,437.0,Reduced movement,No,Subclinical
COW-1484,7,10.24,5.42,4.7,4,17.6,8.1,18.5,19.5,520.6,Reduced movement,No,Normal
COW-1485,3,7.64,4.68,2.1,-2,19.8,5.4,-8.9,16.8,390.5,Muscle tremors,No,Subclinical
COW-1486,3,8.06,6.97,4.9,5,30.2,5.4,15.4,16.5,373.5,Reduced movement,No,Subclinical
COW-1487,8,10.22,3.07,3.3,10,18.7,7.6,8.9,21.3,519.4,Reduced movement,No,Normal
COW-1488,3,5.82,7.96,4.2,27,11.2,3.8,14.2,10.9,185.3,Muscle tremors,Yes,Moderate
COW-1489,2,5.41,6.66,4.8,3,22.5,2.5,-1.9,11.9,181.5,Normal movement,Yes,Moderate
